Source,Destination,Protocol,SrcPort,DstPort,DataSize,Duration
192.168.49.4,103.181.164.164,6,14042,53501,2192,3437.555
103.181.164.164,192.168.49.4,6,53501,14042,348,4077.692
103.181.164.164,192.168.49.4,6,53501,13977,54,0.000
192.168.49.4,103.181.164.164,6,13977,53501,108,1.516
192.168.49.4,103.181.164.164,6,14044,53501,2568,4058.993
192.168.49.4,103.181.164.164,6,13984,53501,156,0.000
103.181.164.164,192.168.49.4,6,53501,14044,198,2697.325
192.168.49.4,103.181.164.164,6,42574,53501,266,3628.158
192.168.49.4,103.181.164.164,6,42545,53501,110,0.510
192.168.49.4,120.133.65.238,6,35360,443,216,13.410
120.133.65.238,192.168.49.4,6,443,35360,193,61.647
