Source,Destination,Protocol,SrcPort,DstPort,DataSize,Duration
172.64.146.188,192.168.43.10,6,443,15429,205,0.208
192.168.43.10,172.64.146.188,6,15429,443,54,0.000
192.168.43.10,172.64.146.188,6,49206,443,270,0.103
192.168.43.10,18.238.192.113,6,26328,443,54,0.000
172.64.146.188,192.168.43.10,6,443,49206,240,0.001
192.168.43.10,172.64.146.188,6,15431,443,3281,2.606
172.64.146.188,192.168.43.10,6,443,15431,10654,2.501
192.168.43.10,172.64.146.188,6,1388,443,55,0.000
172.64.146.188,192.168.43.10,6,443,1388,66,0.000
192.168.43.10,192.168.43.1,17,60327,53,96,0.000
192.168.43.10,101.226.144.240,6,15433,80,1005,0.368
192.168.43.1,192.168.43.10,17,53,60327,172,0.000
192.168.43.10,172.64.146.188,6,15434,443,3227,2.679
192.168.43.10,123.151.48.171,6,15435,8080,1355,1.532
101.226.144.240,192.168.43.10,6,80,15433,5307,0.245
123.151.48.171,192.168.43.10,6,8080,15435,3020,0.209
172.64.146.188,192.168.43.10,6,443,15434,10662,2.529
192.168.43.10,3.165.160.111,6,15436,443,3298,2.313
3.165.160.111,192.168.43.10,6,443,15436,4557,1.051
192.168.43.10,3.165.160.111,6,15437,443,843,0.219
192.168.43.10,192.168.43.1,17,63459,53,96,0.000
3.165.160.111,192.168.43.10,6,443,15437,345,0.215
192.168.43.1,192.168.43.10,17,53,63459,172,0.000
192.168.43.10,172.64.146.188,6,15440,443,691,0.101
192.168.43.10,172.64.146.188,6,15441,443,691,0.102
124.225.154.8,192.168.43.10,6,443,50724,225,0.002
192.168.43.10,124.225.154.8,6,50724,443,108,0.000
172.64.146.188,192.168.43.10,6,443,15440,66,0.000
172.64.146.188,192.168.43.10,6,443,15441,66,0.000
